school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian_mat,traveltime_mat,studytime_mat,failures_mat,schoolsup_mat,famsup_mat,paid_mat,activities_mat,nursery,higher_mat,internet,romantic_mat,famrel_mat,freetime_mat,goout_mat,Dalc_mat,Walc_mat,health_mat,absences_mat,G1_mat,G2_mat,G3_mat,guardian_por,traveltime_por,studytime_por,failures_por,schoolsup_por,famsup_por,paid_por,activities_por,higher_por,romantic_por,famrel_por,freetime_por,goout_por,Dalc_por,Walc_por,health_por,absences_por,G1_por,G2_por,G3_por,student_id
GP,F,15,U,GT3,T,4,4,services,services,reputation,father,2,2,2,no,no,yes,no,yes,yes,yes,yes,4,4,4,2,3,5,6,7,9,8,father,2,2,0,no,no,no,no,yes,yes,4,4,4,2,3,5,4,12,11,12,GP_F_15_U_GT3_T_4_4_services_services_reputation_yes_yes
GP,F,16,U,LE3,T,2,2,at_home,other,course,mother,1,2,0,no,yes,no,no,yes,yes,no,no,4,3,4,1,2,2,4,8,7,6,mother,1,2,0,no,yes,no,no,yes,no,4,3,4,1,2,2,6,13,11,11,GP_F_16_U_LE3_T_2_2_at_home_other_course_yes_no
GP,F,15,U,GT3,T,4,2,other,other,reputation,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,3,1,4,13,14,14,mother,1,3,0,no,yes,no,yes,yes,no,5,3,3,1,3,1,4,15,15,15,GP_F_15_U_GT3_T_4_2_other_other_reputation_yes_yes
GP,M,16,U,GT3,T,2,2,services,other,reputation,father,2,2,1,no,no,yes,yes,no,yes,yes,no,4,4,2,1,1,3,12,11,10,10,father,2,2,0,no,no,no,yes,yes,no,4,4,2,1,1,3,6,12,10,11,GP_M_16_U_GT3_T_2_2_services_other_reputation_no_yes
GP,M,16,U,LE3,A,4,4,teacher,health,reputation,mother,1,2,0,no,yes,no,no,yes,yes,no,no,4,1,3,3,5,5,18,8,6,7,mother,1,2,0,no,yes,no,no,yes,no,4,1,3,3,5,5,6,9,9,10,GP_M_16_U_LE3_A_4_4_teacher_health_reputation_yes_no
GP,F,16,U,GT3,T,3,3,other,other,home,mother,1,3,0,no,yes,yes,no,yes,yes,yes,yes,4,3,3,1,3,4,0,7,7,8,mother,1,3,0,no,yes,no,no,yes,yes,4,3,3,1,3,4,2,9,11,11,GP_F_16_U_GT3_T_3_3_other_other_home_yes_yes
GP,F,15,U,GT3,T,4,3,services,other,reputation,mother,1,1,0,no,no,yes,yes,yes,yes,yes,no,4,5,5,1,3,1,4,16,17,18,mother,1,1,0,no,no,no,yes,yes,no,4,5,5,1,3,1,6,14,13,13,GP_F_15_U_GT3_T_4_3_services_other_reputation_yes_yes
GP,F,16,U,LE3,T,3,1,other,other,home,father,1,2,0,yes,yes,no,no,yes,yes,no,no,3,3,3,2,3,2,4,7,6,6,father,1,2,0,yes,yes,no,no,yes,no,3,3,3,2,3,2,0,12,13,12,GP_F_16_U_LE3_T_3_1_other_other_home_yes_no
GP,F,16,U,GT3,T,4,2,teacher,services,home,mother,2,2,0,no,yes,yes,yes,yes,yes,yes,no,5,3,3,1,1,1,0,11,10,10,mother,2,2,0,no,yes,no,yes,yes,no,5,3,3,1,1,1,2,13,14,14,GP_F_16_U_GT3_T_4_2_teacher_services_home_yes_yes
GP,M,15,U,LE3,T,2,2,services,health,reputation,mother,1,4,0,no,yes,no,yes,yes,yes,yes,no,4,3,4,1,1,4,6,11,13,14,mother,1,4,0,no,yes,no,yes,yes,no,4,3,4,1,1,4,2,11,12,12,GP_M_15_U_LE3_T_2_2_services_health_reputation_yes_yes
GP,F,15,R,GT3,T,1,1,at_home,other,home,mother,2,4,1,yes,yes,yes,yes,yes,yes,yes,no,3,1,2,1,1,1,2,7,10,10,mother,2,4,0,yes,yes,yes,yes,yes,no,3,1,2,1,1,1,4,13,13,13,GP_F_15_R_GT3_T_1_1_at_home_other_home_yes_yes
GP,M,16,R,GT3,T,4,3,services,other,reputation,mother,2,1,0,yes,yes,no,yes,no,yes,yes,no,3,3,3,1,1,4,2,11,15,15,mother,2,1,0,yes,yes,yes,yes,yes,no,3,3,3,1,1,4,6,9,11,11,GP_M_16_R_GT3_T_4_3_services_other_reputation_no_yes
GP,F,16,U,GT3,T,2,1,other,other,course,mother,1,2,0,no,yes,yes,no,yes,yes,no,yes,4,3,5,1,1,5,2,8,9,10,mother,1,2,0,no,yes,no,no,yes,yes,4,3,5,1,1,5,0,13,12,12,GP_F_16_U_GT3_T_2_1_other_other_course_yes_no
GP,F,16,U,GT3,T,4,4,other,other,reputation,mother,1,1,0,no,no,no,yes,no,yes,yes,no,5,3,4,1,2,1,6,11,14,14,mother,1,1,0,no,no,no,yes,yes,no,5,3,4,1,2,1,4,12,13,13,GP_F_16_U_GT3_T_4_4_other_other_reputation_no_yes
GP,F,16,U,GT3,T,4,3,other,at_home,course,mother,1,3,0,yes,yes,yes,no,yes,yes,yes,no,5,3,5,1,1,3,0,7,9,8,mother,1,3,0,yes,yes,no,no,yes,no,5,3,5,1,1,3,2,12,13,13,GP_F_16_U_GT3_T_4_3_other_at_home_course_yes_yes
GP,M,16,U,GT3,T,4,4,services,services,other,mother,1,1,0,yes,yes,yes,yes,yes,yes,yes,no,4,5,5,5,5,4,14,7,7,5,mother,1,1,0,yes,yes,no,yes,yes,no,4,5,5,5,5,4,12,9,9,8,GP_M_16_U_GT3_T_4_4_services_services_other_yes_yes
GP,M,16,U,GT3,T,4,4,services,teacher,other,father,1,3,0,no,yes,no,yes,yes,yes,yes,yes,4,4,3,1,1,4,0,16,17,17,father,1,3,0,no,yes,no,yes,yes,yes,4,4,3,1,1,4,0,16,16,16,GP_M_16_U_GT3_T_4_4_services_teacher_other_yes_yes
GP,M,15,U,GT3,T,4,4,services,other,course,mother,1,1,0,no,yes,no,yes,no,yes,yes,no,5,3,3,1,1,5,4,10,13,14,mother,1,1,0,no,yes,yes,yes,yes,no,5,3,3,1,1,5,2,12,13,12,GP_M_15_U_GT3_T_4_4_services_other_course_no_yes
GP,F,15,U,GT3,T,3,2,services,other,home,mother,2,2,0,yes,yes,yes,no,yes,yes,yes,no,4,3,5,1,1,2,26,7,6,6,mother,2,2,0,yes,yes,no,no,yes,no,4,3,5,1,1,2,16,11,10,10,GP_F_15_U_GT3_T_3_2_services_other_home_yes_yes
GP,M,15,U,GT3,A,3,4,services,other,course,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,5,4,4,1,1,1,0,16,18,18,mother,1,2,0,no,yes,no,yes,yes,no,5,4,4,1,1,1,0,16,16,16,GP_M_15_U_GT3_A_3_4_services_other_course_yes_yes
GP,F,15,U,GT3,A,3,3,other,health,reputation,father,1,4,0,yes,no,no,no,yes,yes,no,no,4,3,3,1,1,4,10,10,11,11,father,1,4,0,yes,no,no,no,yes,no,4,3,3,1,1,4,10,10,10,10,GP_F_15_U_GT3_A_3_3_other_health_reputation_yes_no
GP,F,15,U,GT3,T,2,2,other,other,course,mother,1,4,0,yes,yes,yes,no,yes,yes,yes,no,5,1,2,1,1,3,8,7,8,8,mother,1,4,0,yes,yes,no,no,yes,no,5,1,2,1,1,3,4,10,10,10,GP_F_15_U_GT3_T_2_2_other_other_course_yes_yes
GP,M,16,U,GT3,T,3,3,services,other,home,father,1,3,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,1,5,2,16,18,18,father,1,3,0,no,yes,no,yes,yes,no,5,3,3,1,1,5,4,13,14,14,GP_M_16_U_GT3_T_3_3_services_other_home_yes_yes
GP,M,16,U,GT3,T,3,3,services,other,home,father,1,3,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,1,5,2,16,18,18,mother,1,2,0,no,no,no,yes,yes,yes,4,2,3,1,2,3,0,11,12,13,GP_M_16_U_GT3_T_3_3_services_other_home_yes_yes
GP,M,16,U,GT3,T,3,3,services,other,home,mother,1,2,0,no,no,yes,yes,yes,yes,yes,yes,4,2,3,1,2,3,2,12,13,12,father,1,3,0,no,yes,no,yes,yes,no,5,3,3,1,1,5,4,13,14,14,GP_M_16_U_GT3_T_3_3_services_other_home_yes_yes
GP,M,16,U,GT3,T,3,3,services,other,home,mother,1,2,0,no,no,yes,yes,yes,yes,yes,yes,4,2,3,1,2,3,2,12,13,12,mother,1,2,0,no,no,no,yes,yes,yes,4,2,3,1,2,3,0,11,12,13,GP_M_16_U_GT3_T_3_3_services_other_home_yes_yes
GP,M,15,R,GT3,T,4,4,other,other,home,father,4,4,0,no,yes,yes,yes,yes,yes,yes,yes,1,3,5,3,5,1,6,10,13,13,father,4,4,0,no,yes,no,yes,yes,yes,1,3,5,3,5,1,8,12,10,11,GP_M_15_R_GT3_T_4_4_other_other_home_yes_yes
GP,F,16,U,LE3,T,4,4,health,health,other,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,yes,5,4,5,1,1,4,4,14,15,16,mother,1,3,0,no,yes,no,yes,yes,yes,5,4,5,1,1,4,2,15,15,14,GP_F_16_U_LE3_T_4_4_health_health_other_yes_yes
GP,M,15,U,LE3,A,4,4,teacher,teacher,course,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,5,5,3,1,1,4,6,18,19,19,mother,1,1,0,no,no,no,yes,yes,no,5,5,3,1,1,4,4,13,14,14,GP_M_15_U_LE3_A_4_4_teacher_teacher_course_yes_yes
GP,F,16,R,GT3,T,3,3,services,other,reputation,father,1,3,1,yes,yes,no,yes,yes,yes,yes,no,4,1,2,1,1,2,0,7,10,10,father,1,3,0,yes,yes,no,yes,yes,no,4,1,2,1,1,2,4,11,11,11,GP_F_16_R_GT3_T_3_3_services_other_reputation_yes_yes
GP,F,16,U,GT3,T,2,2,at_home,other,home,mother,1,2,1,yes,no,no,yes,yes,yes,yes,no,3,1,2,1,1,5,6,10,13,13,mother,1,2,1,yes,no,no,yes,yes,no,3,1,2,1,1,5,12,8,10,10,GP_F_16_U_GT3_T_2_2_at_home_other_home_yes_yes
GP,M,15,U,LE3,T,4,2,teacher,other,course,mother,1,1,0,no,no,no,no,yes,yes,yes,no,3,5,2,1,1,3,10,18,19,19,mother,1,1,0,no,no,no,no,yes,no,3,5,2,1,1,3,10,18,17,18,GP_M_15_U_LE3_T_4_2_teacher_other_course_yes_yes
GP,M,15,R,GT3,T,2,1,health,services,reputation,mother,1,2,0,no,no,no,yes,yes,yes,yes,yes,5,4,2,1,1,5,8,9,9,9,mother,1,2,0,no,no,no,yes,yes,yes,5,4,2,1,1,5,4,10,9,10,GP_M_15_R_GT3_T_2_1_health_services_reputation_yes_yes
GP,M,16,U,GT3,T,4,4,teacher,teacher,course,father,1,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,4,1,2,5,2,15,15,16,father,1,2,0,no,yes,no,yes,yes,no,5,4,4,1,2,5,6,16,14,14,GP_M_16_U_GT3_T_4_4_teacher_teacher_course_yes_yes
GP,M,16,U,GT3,T,4,4,teacher,teacher,course,father,1,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,4,1,2,5,2,15,15,16,mother,1,1,0,no,yes,no,no,no,yes,3,3,2,2,1,5,16,9,9,8,GP_M_16_U_GT3_T_4_4_teacher_teacher_course_yes_yes
GP,M,16,U,GT3,T,4,4,teacher,teacher,course,mother,1,1,0,no,yes,no,no,yes,no,yes,yes,3,3,2,2,1,5,0,7,6,0,father,1,2,0,no,yes,no,yes,yes,no,5,4,4,1,2,5,6,16,14,14,GP_M_16_U_GT3_T_4_4_teacher_teacher_course_yes_yes
GP,M,16,U,GT3,T,4,4,teacher,teacher,course,mother,1,1,0,no,yes,no,no,yes,no,yes,yes,3,3,2,2,1,5,0,7,6,0,mother,1,1,0,no,yes,no,no,no,yes,3,3,2,2,1,5,16,9,9,8,GP_M_16_U_GT3_T_4_4_teacher_teacher_course_yes_yes
GP,M,15,U,GT3,T,4,4,other,teacher,reputation,father,2,2,0,no,yes,no,yes,yes,yes,no,no,4,4,3,1,1,2,2,11,13,14,father,2,2,0,no,yes,no,yes,yes,no,4,4,3,1,1,2,4,16,15,16,GP_M_15_U_GT3_T_4_4_other_teacher_reputation_yes_no
GP,M,16,U,GT3,T,3,3,other,services,home,father,2,1,0,no,no,no,yes,yes,yes,yes,no,5,4,2,1,1,5,0,13,14,13,father,2,1,0,no,no,no,yes,yes,no,5,4,2,1,1,5,6,14,14,15,GP_M_16_U_GT3_T_3_3_other_services_home_yes_yes
GP,M,17,R,GT3,T,1,3,other,other,course,father,3,2,1,no,yes,no,yes,yes,yes,yes,no,5,2,4,1,4,5,20,9,7,8,father,3,2,1,no,yes,no,yes,yes,no,5,2,4,1,4,5,14,12,11,11,GP_M_17_R_GT3_T_1_3_other_other_course_yes_yes
GP,M,15,U,GT3,T,3,4,other,other,reputation,father,1,1,0,no,no,no,no,yes,yes,yes,no,3,4,3,1,2,4,6,14,13,13,father,1,1,0,no,no,no,no,yes,no,3,4,3,1,2,4,2,14,13,14,GP_M_15_U_GT3_T_3_4_other_other_reputation_yes_yes
GP,F,15,U,GT3,T,1,2,at_home,services,course,mother,1,2,0,no,no,no,no,no,yes,yes,no,3,2,3,1,2,1,2,16,15,15,mother,1,2,0,no,no,no,no,yes,no,3,2,3,1,2,1,0,14,14,14,GP_F_15_U_GT3_T_1_2_at_home_services_course_no_yes
GP,M,15,U,GT3,T,2,2,services,services,home,father,1,4,0,no,yes,yes,yes,yes,yes,yes,no,5,5,4,1,2,5,6,16,14,15,father,1,4,0,no,yes,no,yes,yes,no,5,5,4,1,2,5,6,14,13,13,GP_M_15_U_GT3_T_2_2_services_services_home_yes_yes
GP,F,16,U,LE3,T,2,4,other,health,course,father,2,2,0,no,yes,yes,yes,yes,yes,yes,yes,4,2,2,1,2,5,2,13,13,13,father,2,2,0,no,yes,no,yes,yes,yes,4,2,2,1,2,5,2,14,12,13,GP_F_16_U_LE3_T_2_4_other_health_course_yes_yes
GP,M,16,U,GT3,T,4,4,health,other,course,mother,1,1,0,no,yes,no,yes,yes,yes,yes,no,3,4,4,1,4,5,18,14,11,13,mother,1,1,0,no,yes,no,yes,yes,no,3,4,4,1,4,5,4,12,13,13,GP_M_16_U_GT3_T_4_4_health_other_course_yes_yes
GP,F,16,U,GT3,T,2,2,other,other,home,mother,1,2,0,no,no,yes,no,yes,yes,yes,yes,5,4,4,1,1,5,0,8,7,8,mother,1,2,0,no,no,no,no,yes,yes,5,4,4,1,1,5,0,12,11,11,GP_F_16_U_GT3_T_2_2_other_other_home_yes_yes
GP,M,15,U,GT3,T,3,4,services,services,home,father,1,1,0,yes,no,no,no,yes,yes,yes,no,5,5,5,3,2,5,0,13,13,12,father,1,1,0,yes,no,no,no,yes,no,5,5,5,3,2,5,2,9,9,9,GP_M_15_U_GT3_T_3_4_services_services_home_yes_yes
GP,F,15,U,LE3,A,3,4,other,other,home,mother,1,2,0,yes,no,no,yes,yes,yes,yes,yes,5,3,2,1,1,1,0,7,10,11,mother,1,2,0,yes,no,no,yes,yes,yes,5,3,2,1,1,1,0,10,11,11,GP_F_15_U_LE3_A_3_4_other_other_home_yes_yes
GP,F,19,U,GT3,T,0,1,at_home,other,course,other,1,2,3,no,yes,no,no,no,no,no,no,3,4,2,1,1,5,2,7,8,9,other,1,2,2,no,yes,no,no,no,no,3,4,2,1,1,5,0,9,10,11,GP_F_19_U_GT3_T_0_1_at_home_other_course_no_no
GP,M,18,R,GT3,T,2,2,services,other,reputation,mother,1,1,2,no,yes,no,yes,yes,yes,yes,no,3,3,3,1,2,4,0,7,4,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,GP_M_18_R_GT3_T_2_2_services_other_reputation_yes_yes
GP,M,16,R,GT3,T,4,4,teacher,teacher,course,mother,1,1,0,no,no,yes,yes,yes,yes,yes,no,3,5,5,2,5,4,8,18,18,18,mother,1,1,0,no,no,no,yes,yes,no,3,5,5,2,5,4,8,14,14,15,GP_M_16_R_GT3_T_4_4_teacher_teacher_course_yes_yes
GP,F,15,R,GT3,T,3,4,services,teacher,course,father,2,3,2,no,yes,no,no,yes,yes,yes,yes,4,2,2,2,2,5,0,12,0,0,father,2,3,0,no,yes,no,no,yes,yes,4,2,2,2,2,5,0,10,11,12,GP_F_15_R_GT3_T_3_4_services_teacher_course_yes_yes
GP,F,15,U,GT3,T,1,1,at_home,other,course,mother,3,1,0,no,yes,no,yes,no,yes,yes,yes,4,3,3,1,2,4,0,8,0,0,mother,3,1,0,no,yes,no,yes,yes,yes,4,3,3,1,2,4,6,11,12,13,GP_F_15_U_GT3_T_1_1_at_home_other_course_no_yes
GP,F,17,U,LE3,T,2,2,other,other,course,father,1,1,0,no,yes,no,no,yes,yes,yes,yes,3,4,4,1,3,5,12,10,13,12,father,1,1,0,no,yes,no,no,yes,yes,3,4,4,1,3,5,2,13,12,12,GP_F_17_U_LE3_T_2_2_other_other_course_yes_yes
GP,F,16,U,GT3,A,3,4,services,other,course,father,1,1,0,no,no,no,no,yes,yes,yes,no,3,2,1,1,4,5,16,12,11,11,father,1,1,0,no,no,no,no,yes,no,3,2,1,1,4,5,12,15,13,14,GP_F_16_U_GT3_A_3_4_services_other_course_yes_yes
GP,M,15,R,GT3,T,3,4,at_home,teacher,course,mother,4,2,0,no,yes,no,no,yes,yes,no,yes,5,3,3,1,1,5,0,9,0,0,mother,4,2,0,no,yes,no,no,yes,yes,5,3,3,1,1,5,2,12,11,11,GP_M_15_R_GT3_T_3_4_at_home_teacher_course_yes_no
GP,F,15,U,GT3,T,4,4,services,at_home,course,mother,1,3,0,no,yes,no,yes,yes,yes,yes,yes,4,3,3,1,1,5,0,11,0,0,mother,1,3,0,no,yes,no,yes,yes,yes,4,3,3,1,1,5,4,13,14,15,GP_F_15_U_GT3_T_4_4_services_at_home_course_yes_yes
GP,M,17,R,GT3,T,3,4,at_home,other,course,mother,3,2,0,no,no,no,no,yes,yes,no,no,5,4,5,2,4,5,0,10,0,0,mother,3,2,0,no,no,no,no,yes,no,5,4,5,2,4,5,2,10,9,10,GP_M_17_R_GT3_T_3_4_at_home_other_course_yes_no
GP,F,16,U,GT3,A,3,3,other,other,course,other,2,1,2,no,yes,no,yes,no,yes,yes,yes,4,3,2,1,1,5,0,4,0,0,other,2,1,0,no,yes,no,yes,yes,yes,4,3,2,1,1,5,4,9,9,10,GP_F_16_U_GT3_A_3_3_other_other_course_no_yes
GP,M,16,U,LE3,T,1,1,services,other,course,mother,1,2,1,no,no,no,no,yes,yes,no,yes,4,4,4,1,3,5,0,14,12,12,mother,1,2,2,no,no,no,no,yes,yes,4,4,4,1,3,5,0,10,10,10,GP_M_16_U_LE3_T_1_1_services_other_course_yes_no
GP,F,15,U,GT3,T,4,4,teacher,teacher,course,mother,2,1,0,no,no,no,yes,yes,yes,yes,no,4,3,2,1,1,5,0,16,16,15,mother,2,1,0,no,no,no,yes,yes,no,4,3,2,1,1,5,6,13,14,14,GP_F_15_U_GT3_T_4_4_teacher_teacher_course_yes_yes
GP,M,15,U,GT3,T,4,3,teacher,services,course,father,2,4,0,yes,yes,no,no,yes,yes,yes,no,2,2,2,1,1,3,0,7,9,0,father,2,4,0,yes,yes,no,no,yes,no,2,2,2,1,1,3,6,9,11,11,GP_M_15_U_GT3_T_4_3_teacher_services_course_yes_yes
GP,M,16,U,LE3,T,2,2,services,services,reputation,father,2,1,2,no,yes,no,yes,yes,yes,yes,no,2,3,3,2,2,2,8,9,9,9,father,2,1,0,no,yes,no,yes,yes,no,2,3,3,2,2,2,4,12,11,11,GP_M_16_U_LE3_T_2_2_services_services_reputation_yes_yes
GP,F,15,U,GT3,T,4,4,teacher,services,course,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,no,4,2,2,1,1,5,2,9,11,11,mother,1,3,0,no,yes,no,yes,yes,no,4,2,2,1,1,5,2,13,13,13,GP_F_15_U_GT3_T_4_4_teacher_services_course_yes_yes
GP,F,16,U,LE3,T,1,1,at_home,at_home,course,mother,1,1,0,no,no,no,no,yes,yes,yes,no,3,4,4,3,3,1,2,14,14,13,mother,1,1,0,no,no,no,no,yes,no,3,4,4,3,3,1,4,10,11,11,GP_F_16_U_LE3_T_1_1_at_home_at_home_course_yes_yes
GP,F,15,U,GT3,T,1,1,other,services,course,father,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,4,2,1,2,5,0,8,11,11,father,1,2,0,no,yes,no,no,yes,no,4,4,2,1,2,5,0,12,12,12,GP_F_15_U_GT3_T_1_1_other_services_course_yes_yes
GP,F,15,U,GT3,T,3,2,health,services,home,father,1,2,3,no,yes,no,no,yes,yes,yes,no,3,3,2,1,1,3,0,6,7,0,father,1,2,1,no,yes,no,no,yes,no,3,3,2,1,1,3,2,11,11,11,GP_F_15_U_GT3_T_3_2_health_services_home_yes_yes
GP,F,15,U,GT3,T,1,2,at_home,other,course,mother,1,2,0,no,yes,yes,no,no,yes,yes,no,4,3,2,1,1,5,2,10,11,11,mother,1,2,0,no,yes,no,no,yes,no,4,3,2,1,1,5,6,13,12,13,GP_F_15_U_GT3_T_1_2_at_home_other_course_no_yes
GP,M,15,U,LE3,A,2,1,services,other,course,mother,4,1,3,no,no,no,no,yes,yes,yes,no,4,5,5,2,5,5,0,8,9,10,mother,4,1,0,no,no,no,no,yes,no,4,5,5,2,5,5,0,12,11,11,GP_M_15_U_LE3_A_2_1_services_other_course_yes_yes
GP,M,18,U,LE3,T,1,1,other,other,course,mother,1,1,3,no,no,no,no,yes,no,yes,yes,2,3,5,2,5,4,0,6,5,0,mother,1,1,2,no,no,no,no,no,yes,2,3,5,2,5,4,0,11,9,0,GP_M_18_U_LE3_T_1_1_other_other_course_yes_yes
GP,M,16,U,LE3,T,2,1,at_home,other,course,mother,1,1,1,no,no,no,yes,yes,yes,no,yes,4,4,4,3,5,5,6,12,13,14,mother,1,1,1,no,no,no,yes,yes,yes,4,4,4,3,5,5,6,9,10,10,GP_M_16_U_LE3_T_2_1_at_home_other_course_yes_no
GP,F,15,R,GT3,T,3,3,services,services,reputation,other,2,3,2,no,yes,yes,yes,yes,yes,yes,yes,4,2,1,2,3,3,8,10,10,10,other,2,3,0,no,yes,yes,yes,yes,yes,4,2,1,2,3,3,2,13,13,13,GP_F_15_R_GT3_T_3_3_services_services_reputation_yes_yes
GP,M,19,U,GT3,T,3,2,services,at_home,home,mother,1,1,3,no,yes,no,no,yes,no,yes,yes,4,5,4,1,1,4,0,5,0,0,mother,1,1,0,no,yes,no,no,no,yes,4,5,4,1,1,4,6,11,9,11,GP_M_19_U_GT3_T_3_2_services_at_home_home_yes_yes
GP,F,17,U,GT3,T,4,4,other,teacher,course,mother,1,1,0,yes,yes,no,no,yes,yes,no,yes,4,2,1,1,1,4,0,11,11,12,mother,1,1,0,yes,yes,no,no,yes,yes,4,2,1,1,1,4,0,13,13,13,GP_F_17_U_GT3_T_4_4_other_teacher_course_yes_no
GP,M,15,R,GT3,T,2,3,at_home,services,course,mother,1,2,0,yes,no,yes,yes,yes,yes,no,no,4,4,4,1,1,1,2,11,8,8,mother,1,2,0,yes,no,yes,yes,yes,no,4,4,4,1,1,1,0,7,8,8,GP_M_15_R_GT3_T_2_3_at_home_services_course_yes_no
GP,M,17,R,LE3,T,1,2,other,other,reputation,mother,1,1,0,no,no,no,no,yes,yes,no,no,2,2,2,3,3,5,8,16,12,13,mother,1,1,3,no,no,no,no,yes,no,2,2,2,3,3,5,14,9,8,10,GP_M_17_R_LE3_T_1_2_other_other_reputation_yes_no
GP,F,18,R,GT3,T,1,1,at_home,other,course,mother,3,1,3,no,yes,no,yes,no,yes,no,no,5,2,5,1,5,4,6,9,8,10,mother,3,1,3,no,yes,no,yes,yes,no,5,2,5,1,5,4,6,11,10,11,GP_F_18_R_GT3_T_1_1_at_home_other_course_no_no
GP,M,16,R,GT3,T,2,2,at_home,other,course,mother,3,1,0,no,no,no,no,no,yes,no,no,4,2,2,1,2,3,2,17,15,15,mother,3,1,0,no,no,no,no,yes,no,4,2,2,1,2,3,4,12,10,11,GP_M_16_R_GT3_T_2_2_at_home_other_course_no_no
GP,M,16,U,GT3,T,3,3,other,services,course,father,1,2,1,no,yes,yes,no,yes,yes,yes,yes,4,5,5,4,4,5,4,10,12,12,father,1,2,1,no,yes,no,no,yes,yes,4,5,5,4,4,5,0,10,10,1,GP_M_16_U_GT3_T_3_3_other_services_course_yes_yes
GP,M,17,R,LE3,T,2,1,at_home,other,course,mother,2,1,2,no,no,no,yes,yes,no,yes,yes,3,3,2,2,2,5,0,7,6,0,mother,2,1,1,no,no,yes,yes,no,yes,3,3,2,2,2,5,8,8,8,9,GP_M_17_R_LE3_T_2_1_at_home_other_course_yes_yes
GP,M,15,R,GT3,T,3,2,other,other,course,mother,2,2,2,yes,yes,no,no,yes,yes,yes,yes,4,4,4,1,4,3,6,5,9,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,GP_M_15_R_GT3_T_3_2_other_other_course_yes_yes
GP,M,16,U,LE3,T,1,2,other,other,course,mother,2,1,1,no,no,no,yes,yes,yes,no,no,4,4,4,2,4,5,0,7,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,GP_M_16_U_LE3_T_1_2_other_other_course_yes_no
GP,M,17,U,GT3,T,1,3,at_home,services,course,father,1,1,0,no,no,no,no,yes,no,yes,no,5,3,3,1,4,2,2,10,10,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,GP_M_17_U_GT3_T_1_3_at_home_services_course_yes_yes
GP,M,17,R,LE3,T,1,1,other,services,course,mother,4,2,3,no,no,no,yes,yes,no,no,yes,5,3,5,1,5,5,0,5,8,7,mother,4,2,0,no,no,no,yes,no,yes,5,3,5,1,5,5,0,8,8,8,GP_M_17_R_LE3_T_1_1_other_services_course_yes_no
GP,M,16,U,GT3,T,3,2,services,services,course,mother,2,1,1,no,yes,no,yes,no,no,no,no,4,5,2,1,1,2,16,12,11,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,GP_M_16_U_GT3_T_3_2_services_services_course_no_no
GP,M,16,U,GT3,T,2,2,other,other,course,father,1,2,0,no,no,no,no,yes,no,yes,no,4,3,5,2,4,4,4,10,10,10,father,1,2,0,no,no,no,no,no,no,4,3,5,2,4,4,0,9,10,11,GP_M_16_U_GT3_T_2_2_other_other_course_yes_yes
GP,F,16,U,GT3,T,4,2,health,services,home,father,1,2,0,no,no,yes,no,yes,yes,yes,yes,4,2,3,1,1,3,0,14,15,16,father,1,2,0,no,no,no,no,yes,yes,4,2,3,1,1,3,0,17,17,18,GP_F_16_U_GT3_T_4_2_health_services_home_yes_yes
GP,F,16,U,GT3,T,2,2,other,other,home,mother,1,2,0,no,yes,yes,no,no,yes,yes,no,5,1,5,1,1,4,0,6,7,0,mother,1,2,0,no,yes,no,no,yes,no,5,1,5,1,1,4,0,12,12,13,GP_F_16_U_GT3_T_2_2_other_other_home_no_yes
GP,F,16,U,GT3,T,4,4,health,health,reputation,mother,1,2,0,no,yes,yes,no,yes,yes,yes,yes,4,4,2,1,1,3,0,14,14,14,mother,1,2,0,no,yes,no,no,yes,yes,4,4,2,1,1,3,0,16,16,17,GP_F_16_U_GT3_T_4_4_health_health_reputation_yes_yes
GP,M,16,U,GT3,T,3,4,other,other,course,father,3,1,2,no,yes,no,yes,no,yes,yes,no,3,4,5,2,4,2,0,6,5,0,father,3,1,1,no,yes,no,yes,yes,no,3,4,5,2,4,2,4,9,9,10,GP_M_16_U_GT3_T_3_4_other_other_course_no_yes
